rep,method,train_seconds,pretrain_epochs,finetune_epochs,n_train,n_test,candidate_k,backward_q,base_clean,base_mean,mean_test,sd_test,p10_test,min_test,clean_test
17,gradnov4,231.17350792884827,10,2,6000,3000,8,4,0.4326666666666666,0.3481875,0.42053125,0.0144494817347001,0.4042666666666667,0.3863333333333333,0.449
17,loss4,233.4729492664337,10,2,6000,3000,8,4,0.4326666666666666,0.3481875,0.41746875,0.0156119748577998,0.4007666666666666,0.381,0.4483333333333333
18,gradnov4,147.97955632209778,10,2,6000,3000,8,4,0.434,0.3093333333333333,0.4113541666666667,0.0121132462522242,0.3944,0.3803333333333333,0.4186666666666667
18,loss4,152.2443332672119,10,2,6000,3000,8,4,0.434,0.3093333333333333,0.4144791666666667,0.0132578339592228,0.3953333333333333,0.3816666666666666,0.4203333333333333
19,gradnov4,243.2772533893585,10,2,6000,3000,8,4,0.4326666666666666,0.3974166666666667,0.4316145833333333,0.0093533232071772,0.4190666666666666,0.412,0.4556666666666666
19,loss4,244.3131005764008,10,2,6000,3000,8,4,0.4326666666666666,0.3974166666666667,0.4285,0.0086073237132906,0.4168,0.4083333333333333,0.4526666666666666
20,gradnov4,180.4748213291168,10,2,6000,3000,8,4,0.4463333333333333,0.3651875,0.42859375,0.0126691379521896,0.4110666666666667,0.3943333333333333,0.4483333333333333
20,loss4,186.66239595413208,10,2,6000,3000,8,4,0.4463333333333333,0.3651875,0.4306562499999999,0.0133127487272101,0.4153666666666666,0.3916666666666666,0.451
21,gradnov4,229.5538761615753,10,2,6000,3000,8,4,0.4363333333333333,0.3690104166666667,0.41946875,0.0099204214902796,0.4063666666666667,0.398,0.4426666666666666
21,loss4,231.25274467468265,10,2,6000,3000,8,4,0.4363333333333333,0.3690104166666667,0.4191458333333333,0.0097931793615336,0.4078666666666666,0.396,0.4453333333333333
22,gradnov4,243.28892302513125,10,2,6000,3000,8,4,0.406,0.3683958333333333,0.4379583333333333,0.008255225346392,0.4278666666666666,0.4186666666666667,0.4496666666666666
22,loss4,245.5747177600861,10,2,6000,3000,8,4,0.406,0.3683958333333333,0.4371145833333333,0.0087044706409858,0.4270666666666666,0.4176666666666667,0.4476666666666666
23,gradnov4,246.63918948173523,10,2,6000,3000,8,4,0.4206666666666667,0.3555520833333333,0.4300833333333333,0.0091440091440137,0.4186666666666667,0.4076666666666667,0.4356666666666666
23,loss4,251.1126589775085,10,2,6000,3000,8,4,0.4206666666666667,0.3555520833333333,0.42428125,0.0103716284412476,0.4115,0.4033333333333333,0.4426666666666666
24,gradnov4,222.0159363746643,10,2,6000,3000,8,4,0.392,0.3155,0.41440625,0.0099427516780768,0.405,0.3906666666666666,0.4263333333333333
24,loss4,222.9335594177246,10,2,6000,3000,8,4,0.392,0.3155,0.4130416666666667,0.0086334142894863,0.4037,0.3873333333333333,0.4246666666666667
25,gradnov4,244.0371391773224,10,2,6000,3000,8,4,0.4126666666666667,0.3516666666666667,0.4355624999999999,0.0103710506582637,0.4201999999999999,0.411,0.456
25,loss4,247.73594665527344,10,2,6000,3000,8,4,0.4126666666666667,0.3516666666666667,0.4366666666666666,0.0111792177899111,0.4232333333333333,0.4076666666666667,0.4566666666666666
26,gradnov4,162.4649932384491,10,2,6000,3000,8,4,0.4213333333333333,0.38484375,0.41375,0.0094603492475333,0.399,0.393,0.419
26,loss4,166.21004104614258,10,2,6000,3000,8,4,0.4213333333333333,0.38484375,0.408375,0.009669354465041,0.3934999999999999,0.387,0.4073333333333333
27,gradnov4,188.06809663772583,10,2,6000,3000,8,4,0.4463333333333333,0.35703125,0.4119166666666666,0.0170285444523269,0.3864333333333333,0.372,0.43
27,loss4,182.79747653007507,10,2,6000,3000,8,4,0.4463333333333333,0.35703125,0.4078645833333333,0.0166285282724888,0.3878666666666666,0.368,0.4243333333333333
28,gradnov4,243.44615197181705,10,2,6000,3000,8,4,0.4226666666666667,0.3862395833333333,0.4191354166666666,0.0112143850832624,0.4036,0.397,0.444
28,loss4,245.34975910186768,10,2,6000,3000,8,4,0.4226666666666667,0.3862395833333333,0.4193125,0.0106763858610375,0.404,0.399,0.445
29,gradnov4,221.6879472732544,10,2,6000,3000,8,4,0.4086666666666667,0.3627604166666667,0.4212395833333333,0.0088492894536864,0.4110333333333333,0.396,0.432
29,loss4,225.41448664665225,10,2,6000,3000,8,4,0.4086666666666667,0.3627604166666667,0.4197083333333333,0.00919043838487,0.4080333333333333,0.3926666666666666,0.4336666666666666
30,gradnov4,234.46181654930115,10,2,6000,3000,8,4,0.4263333333333333,0.38378125,0.40415625,0.0123264974880369,0.3931,0.373,0.423
30,loss4,237.81491041183472,10,2,6000,3000,8,4,0.4263333333333333,0.38378125,0.4031354166666667,0.0131271311633823,0.3884666666666666,0.367,0.4186666666666667
31,gradnov4,237.86670684814453,10,2,6000,3000,8,4,0.4236666666666667,0.3281770833333333,0.4315624999999999,0.0133707639927232,0.4144333333333334,0.3883333333333333,0.4603333333333333
31,loss4,242.6511559486389,10,2,6000,3000,8,4,0.4236666666666667,0.3281770833333333,0.4306458333333334,0.012817421360109,0.4116333333333333,0.393,0.456
32,gradnov4,221.59428596496585,10,2,6000,3000,8,4,0.4096666666666667,0.3247708333333333,0.4158333333333333,0.0135712641809646,0.3975333333333333,0.3776666666666666,0.4343333333333333
32,loss4,223.5397522449493,10,2,6000,3000,8,4,0.4096666666666667,0.3247708333333333,0.4137083333333333,0.0143618745594095,0.3928,0.378,0.4323333333333333
33,gradnov4,231.67476868629456,10,2,6000,3000,8,4,0.4186666666666667,0.3743854166666667,0.4293229166666666,0.0079064804303621,0.4181333333333333,0.4096666666666667,0.4436666666666666
33,loss4,229.2558033466339,10,2,6000,3000,8,4,0.4186666666666667,0.3743854166666667,0.4294374999999999,0.0082529184584871,0.4184333333333333,0.411,0.4456666666666666
34,gradnov4,234.37983441352844,10,2,6000,3000,8,4,0.437,0.39634375,0.4279166666666666,0.0096505241560992,0.4151666666666666,0.406,0.445
34,loss4,237.6053836345673,10,2,6000,3000,8,4,0.437,0.39634375,0.42815625,0.0105269697583828,0.4150333333333333,0.4066666666666667,0.4433333333333333
35,gradnov4,223.3767590522766,10,2,6000,3000,8,4,0.4,0.3554270833333333,0.4013958333333334,0.0101964353529461,0.3869666666666667,0.3796666666666666,0.4173333333333333
35,loss4,227.49169850349423,10,2,6000,3000,8,4,0.4,0.3554270833333333,0.4016770833333333,0.011579082727489,0.3841333333333333,0.377,0.42
36,gradnov4,222.1875822544098,10,2,6000,3000,8,4,0.403,0.33925,0.4177395833333333,0.0066054904799179,0.4116666666666667,0.3966666666666666,0.4236666666666667
36,loss4,231.16913676261905,10,2,6000,3000,8,4,0.403,0.33925,0.4201145833333333,0.0067620114157768,0.4134,0.4013333333333333,0.428
37,gradnov4,223.5993022918701,10,2,6000,3000,8,4,0.4463333333333333,0.3503020833333333,0.4262708333333334,0.0164341713891303,0.4050666666666667,0.3713333333333333,0.4533333333333333
37,loss4,227.78326034545896,10,2,6000,3000,8,4,0.4463333333333333,0.3503020833333333,0.42671875,0.0159504405788523,0.4065,0.373,0.4513333333333333
38,gradnov4,242.00936579704285,10,2,6000,3000,8,4,0.416,0.3825833333333333,0.4147604166666666,0.010053703244314,0.3978,0.3876666666666666,0.4233333333333333
38,loss4,244.9233899116516,10,2,6000,3000,8,4,0.416,0.3825833333333333,0.4152916666666666,0.0108402376675132,0.4004999999999999,0.3843333333333333,0.4196666666666667
39,gradnov4,241.46892523765564,10,2,6000,3000,8,4,0.4206666666666667,0.3474166666666667,0.4131354166666666,0.0125865774141974,0.3950333333333333,0.3903333333333333,0.4216666666666667
39,loss4,245.32847619056705,10,2,6000,3000,8,4,0.4206666666666667,0.3474166666666667,0.4085,0.012945986494209,0.3912666666666667,0.38,0.4243333333333333
